Id,Date,DeliveryDate,Quantity,Currency,Supplier,NetAmount
10206,8/15/17,8/24/17,26,USD,Computer & Co,289.380005
10206,8/22/17,8/31/17,27,USD,Computer & Co,300.51001
10206,8/28/17,9/7/17,36,USD,Computer & Co,400.679993
10206,9/5/17,9/14/17,19,USD,Computer & Co,211.470001
10206,9/11/17,9/19/17,13,USD,Computer & Co,144.690002
10206,9/18/17,9/24/17,15,USD,Computer & Co,166.949997
10206,9/25/17,10/2/17,14,USD,Computer & Co,155.820007
10206,10/2/17,10/9/17,39,USD,Computer & Co,434.070007
10206,10/9/17,10/17/17,39,USD,Computer & Co,434.070007
10206,10/19/17,10/28/17,43,USD,Computer & Co,478.589996
10206,10/23/17,11/1/17,54,USD,Computer & Co,601.02002
10206,10/30/17,11/6/17,44,USD,Computer & Co,489.720001
10206,11/6/17,11/16/17,17,USD,Computer & Co,189.210007
10206,11/13/17,11/18/17,21,USD,Computer & Co,233.729996
10206,11/20/17,11/28/17,22,USD,Computer & Co,244.860001
10206,11/28/17,12/7/17,23,USD,Computer & Co,255.990005
10206,12/4/17,12/14/17,34,USD,Computer & Co,378.420013
10206,12/11/17,12/21/17,27,USD,Computer & Co,300.51001
10206,12/18/17,12/27/17,42,USD,Computer & Co,467.459991
10206,12/25/17,1/1/18,28,USD,Computer & Co,311.640015
10206,1/2/18,1/7/18,49,USD,Computer & Co,545.369995
10206,1/8/18,1/14/18,44,USD,Computer & Co,489.720001
10206,1/15/18,1/19/18,45,USD,Computer & Co,500.850006
10206,1/22/18,1/27/18,44,USD,Computer & Co,489.720001
10206,1/29/18,2/9/18,55,USD,Computer & Co,612.150024
10206,2/5/18,2/11/18,14,USD,Computer & Co,155.820007
10206,2/12/18,2/19/18,16,USD,Computer & Co,178.080002
10245,10/27/16,11/2/16,3,USD,Computer & Co,30.0900002
10245,11/3/16,11/10/16,56,USD,Computer & Co,561.679993
10245,11/15/16,11/23/16,43,USD,Computer & Co,431.290009
10245,11/21/16,11/30/16,59,USD,Computer & Co,591.77002
10245,11/28/16,12/6/16,39,USD,Computer & Co,391.170013
10245,12/5/16,12/14/16,35,USD,Computer & Co,351.049988
10245,12/12/16,12/19/16,44,USD,Computer & Co,441.320007
10245,12/19/16,12/31/16,44,USD,Computer & Co,441.320007
10245,12/26/16,1/4/17,48,USD,Computer & Co,481.440002
10245,1/3/17,1/13/17,31,USD,Computer & Co,310.929993
10245,1/9/17,1/17/17,31,USD,Computer & Co,310.929993
10245,1/16/17,1/22/17,41,USD,Computer & Co,411.230011
10245,1/23/17,2/1/17,36,USD,Computer & Co,361.079987
10245,1/30/17,2/3/17,38,USD,Computer & Co,381.140015
10245,2/7/17,2/13/17,67,USD,Computer & Co,672.01001
10245,2/13/17,2/24/17,65,USD,Computer & Co,651.950012
10245,2/20/17,2/28/17,63,USD,Computer & Co,631.890015
10245,2/27/17,3/7/17,92,USD,Computer & Co,922.76001
10245,3/6/17,3/10/17,97,USD,Computer & Co,972.909973
10245,3/14/17,3/21/17,101,USD,Computer & Co,1013.03003
10245,3/21/17,3/30/17,119,USD,Computer & Co,1193.56995
10245,3/27/17,4/4/17,136,USD,Computer & Co,1364.07996
10245,4/3/17,4/8/17,38,USD,Computer & Co,381.140015
10245,4/10/17,4/18/17,50,USD,Computer & Co,501.5
10245,4/17/17,4/25/17,56,USD,Computer & Co,561.679993
10245,4/24/17,5/1/17,49,USD,Computer & Co,491.470001
10245,5/2/17,5/11/17,38,USD,Computer & Co,381.140015
10245,5/9/17,5/16/17,40,USD,Computer & Co,401.200012
10245,5/16/17,5/27/17,38,USD,Computer & Co,381.140015
10245,5/23/17,5/28/17,41,USD,Computer & Co,411.230011
10245,5/29/17,6/6/17,33,USD,Computer & Co,330.98999
10245,6/5/17,6/10/17,102,USD,Computer & Co,1023.06
10245,6/12/17,6/21/17,71,USD,Computer & Co,712.130005
10245,6/19/17,6/27/17,107,USD,Computer & Co,1073.20996
10245,6/26/17,6/29/17,79,USD,Computer & Co,792.369995
10245,7/6/17,7/13/17,110,USD,Computer & Co,1103.30005
10245,7/10/17,7/17/17,118,USD,Computer & Co,1183.54004
10245,7/17/17,7/25/17,79,USD,Computer & Co,792.369995
10245,7/24/17,7/31/17,93,USD,Computer & Co,932.789978
10245,7/31/17,8/7/17,110,USD,Computer & Co,1103.30005
10245,8/8/17,8/16/17,180,USD,Computer & Co,1805.40002
10245,8/14/17,8/18/17,205,USD,Computer & Co,2056.1499
10245,8/21/17,8/27/17,238,USD,Computer & Co,2387.13989
10245,8/28/17,9/5/17,189,USD,Computer & Co,1895.67004
10245,9/5/17,9/11/17,278,USD,Computer & Co,2788.34009
10245,9/11/17,9/18/17,184,USD,Computer & Co,1845.52002
10245,9/18/17,9/26/17,173,USD,Computer & Co,1735.18994
10245,9/25/17,10/1/17,184,USD,Computer & Co,1845.52002
10245,10/2/17,10/8/17,102,USD,Computer & Co,1023.06
10245,10/9/17,10/15/17,86,USD,Computer & Co,862.580017
10245,10/16/17,10/23/17,75,USD,Computer & Co,752.25
10245,10/23/17,10/31/17,79,USD,Computer & Co,792.369995
10245,10/30/17,11/7/17,105,USD,Computer & Co,1053.15002
10245,11/8/17,11/16/17,52,USD,Computer & Co,521.559998
10245,11/13/17,11/22/17,43,USD,Computer & Co,431.290009
10245,11/20/17,11/24/17,54,USD,Computer & Co,541.619995
10245,11/27/17,12/5/17,55,USD,Computer & Co,551.650024
10245,12/4/17,12/14/17,65,USD,Computer & Co,651.950012
10245,12/11/17,12/18/17,71,USD,Computer & Co,712.130005
10245,12/18/17,12/24/17,49,USD,Computer & Co,491.470001
10245,12/25/17,12/31/17,70,USD,Computer & Co,702.099976
10245,1/1/18,1/10/18,88,USD,Computer & Co,882.640015
10245,1/8/18,1/16/18,106,USD,Computer & Co,1063.18005
10245,1/16/18,1/27/18,75,USD,Computer & Co,752.25
10245,1/22/18,1/29/18,96,USD,Computer & Co,962.880005
10245,1/29/18,2/8/18,103,USD,Computer & Co,1033.08997
10245,2/5/18,2/11/18,10,USD,Computer & Co,100.300003
10245,2/12/18,2/20/18,13,USD,Computer & Co,130.389999
103237,10/27/16,11/1/16,3,USD,Computer & Co,32.6100006
103237,11/2/16,11/12/16,84,USD,Computer & Co,913.080017
103237,11/15/16,11/20/16,84,USD,Computer & Co,913.080017
103237,11/22/16,11/30/16,72,USD,Computer & Co,782.640015
103237,11/28/16,12/3/16,73,USD,Computer & Co,793.51001
103237,12/5/16,12/11/16,76,USD,Computer & Co,826.119995
103237,12/12/16,12/18/16,75,USD,Computer & Co,815.25
103237,12/19/16,12/28/16,52,USD,Computer & Co,565.23999
103237,12/26/16,12/30/16,50,USD,Computer & Co,543.5
103237,1/3/17,1/10/17,87,USD,Computer & Co,945.690002
103237,1/9/17,1/17/17,77,USD,Computer & Co,836.98999
103237,1/16/17,1/24/17,71,USD,Computer & Co,771.77002
103237,1/23/17,2/1/17,58,USD,Computer & Co,630.460022
103237,1/30/17,2/7/17,85,USD,Computer & Co,923.950012
103237,2/7/17,2/12/17,166,USD,Computer & Co,1804.42004
103237,2/13/17,2/21/17,132,USD,Computer & Co,1434.83997
103237,2/20/17,2/28/17,118,USD,Computer & Co,1282.66003
103237,2/27/17,3/9/17,130,USD,Computer & Co,1413.09998
103237,3/6/17,3/13/17,162,USD,Computer & Co,1760.93994
103237,3/13/17,3/17/17,124,USD,Computer & Co,1347.88
103237,3/20/17,3/29/17,170,USD,Computer & Co,1847.90002
103237,3/27/17,4/5/17,129,USD,Computer & Co,1402.22998
103237,4/3/17,4/9/17,27,USD,Computer & Co,293.48999
103237,4/11/17,4/17/17,31,USD,Computer & Co,336.970001
103237,4/18/17,4/26/17,28,USD,Computer & Co,304.359985
103237,4/25/17,4/30/17,30,USD,Computer & Co,326.100006
103237,5/1/17,5/6/17,228,USD,Computer & Co,2478.36011
103237,5/9/17,5/14/17,237,USD,Computer & Co,2576.18994
103237,5/16/17,5/26/17,216,USD,Computer & Co,2347.91992
103237,5/23/17,5/31/17,246,USD,Computer & Co,2674.02002
103237,5/29/17,6/3/17,186,USD,Computer & Co,2021.81995
103237,6/5/17,6/11/17,224,USD,Computer & Co,2434.87988
103237,6/12/17,6/18/17,190,USD,Computer & Co,2065.30005
103237,6/19/17,6/25/17,247,USD,Computer & Co,2684.88989
103237,6/26/17,7/1/17,232,USD,Computer & Co,2521.84009
103237,7/3/17,7/13/17,245,USD,Computer & Co,2663.1499
103237,7/10/17,7/16/17,371,USD,Computer & Co,4032.77002
103237,7/17/17,7/26/17,281,USD,Computer & Co,3054.46997
103237,7/24/17,7/31/17,385,USD,Computer & Co,4184.9502
103237,7/31/17,8/12/17,391,USD,Computer & Co,4250.16992
103237,8/8/17,8/14/17,277,USD,Computer & Co,3010.98999
103237,8/14/17,8/21/17,368,USD,Computer & Co,4000.15991
103237,8/22/17,8/30/17,251,USD,Computer & Co,2728.37012
103237,8/28/17,9/6/17,344,USD,Computer & Co,3739.28003
103237,9/4/17,9/11/17,461,USD,Computer & Co,5011.06982
103237,9/11/17,9/19/17,512,USD,Computer & Co,5565.43994
103237,9/18/17,9/24/17,451,USD,Computer & Co,4902.37012
103237,9/25/17,9/29/17,560,USD,Computer & Co,6087.2002
103237,10/2/17,10/11/17,406,USD,Computer & Co,4413.22021
103237,10/9/17,10/16/17,263,USD,Computer & Co,2858.81006
103237,10/16/17,10/19/17,386,USD,Computer & Co,4195.81982
103237,10/23/17,10/30/17,337,USD,Computer & Co,3663.18994
103237,10/30/17,11/11/17,348,USD,Computer & Co,3782.76001
103237,11/6/17,11/11/17,344,USD,Computer & Co,3739.28003
103237,11/13/17,11/19/17,433,USD,Computer & Co,4706.70996
103237,11/20/17,11/26/17,472,USD,Computer & Co,5130.64014
103237,11/27/17,12/1/17,500,USD,Computer & Co,5435
103237,12/4/17,12/9/17,185,USD,Computer & Co,2010.94995
103237,12/11/17,12/20/17,152,USD,Computer & Co,1652.23999
103237,12/18/17,12/21/17,200,USD,Computer & Co,2174
103237,12/25/17,1/1/18,236,USD,Computer & Co,2565.32007
103237,1/1/18,1/10/18,215,USD,Computer & Co,2337.05005
103237,1/8/18,1/18/18,201,USD,Computer & Co,2184.87012
103237,1/15/18,1/24/18,305,USD,Computer & Co,3315.3501
103237,1/22/18,1/27/18,214,USD,Computer & Co,2326.17993
103237,1/29/18,2/5/18,301,USD,Computer & Co,3271.87012
103237,2/5/18,2/13/18,86,USD,Computer & Co,934.820007
103237,2/12/18,2/23/18,72,USD,Computer & Co,782.640015
103627,8/15/17,8/18/17,265,USD,Computer & Co,2949.44995
103627,8/25/17,9/1/17,205,USD,Computer & Co,2281.6499
103627,8/28/17,9/5/17,238,USD,Computer & Co,2648.93994
103627,9/5/17,9/12/17,17,USD,Computer & Co,189.210007
103627,9/11/17,9/19/17,13,USD,Computer & Co,144.690002
103627,9/18/17,9/24/17,15,USD,Computer & Co,166.949997
103627,9/25/17,10/1/17,14,USD,Computer & Co,155.820007
103627,10/2/17,10/7/17,187,USD,Computer & Co,2081.31006
103627,10/9/17,10/19/17,231,USD,Computer & Co,2571.03003
103627,10/16/17,10/22/17,155,USD,Computer & Co,1725.15002
103627,10/23/17,10/30/17,250,USD,Computer & Co,2782.5
103627,10/30/17,11/6/17,182,USD,Computer & Co,2025.66003
103627,11/6/17,11/14/17,58,USD,Computer & Co,645.539978
103627,11/13/17,11/20/17,85,USD,Computer & Co,946.049988
103627,11/20/17,11/27/17,73,USD,Computer & Co,812.48999
103627,11/28/17,12/6/17,64,USD,Computer & Co,712.320007
103627,12/4/17,12/15/17,34,USD,Computer & Co,378.420013
103627,12/11/17,12/20/17,36,USD,Computer & Co,400.679993
103627,12/18/17,12/26/17,30,USD,Computer & Co,333.899994
103627,12/25/17,1/3/18,34,USD,Computer & Co,378.420013
103627,1/1/18,1/4/18,43,USD,Computer & Co,478.589996
103627,1/8/18,1/14/18,46,USD,Computer & Co,511.980011
103627,1/15/18,1/23/18,58,USD,Computer & Co,645.539978
103627,1/22/18,1/31/18,53,USD,Computer & Co,589.890015
103627,1/29/18,2/5/18,50,USD,Computer & Co,556.5
103627,2/5/18,2/13/18,12,USD,Computer & Co,133.559998
103627,2/13/18,2/18/18,14,USD,Computer & Co,155.820007
103723,10/27/16,11/4/16,2,USD,Computer & Co,21.8400002
103723,11/2/16,11/7/16,55,USD,Computer & Co,600.599976
103723,11/15/16,11/24/16,48,USD,Computer & Co,524.159973
103723,11/22/16,11/28/16,42,USD,Computer & Co,458.640015
103723,11/29/16,12/7/16,42,USD,Computer & Co,458.640015
103723,12/5/16,12/12/16,43,USD,Computer & Co,469.559998
103723,12/12/16,12/18/16,33,USD,Computer & Co,360.359985
103723,12/19/16,12/24/16,29,USD,Computer & Co,316.679993
103723,12/27/16,1/6/17,43,USD,Computer & Co,469.559998
103723,1/3/17,1/10/17,37,USD,Computer & Co,404.040009
103723,1/9/17,1/14/17,33,USD,Computer & Co,360.359985
103723,1/16/17,1/26/17,33,USD,Computer & Co,360.359985
103723,1/23/17,2/2/17,38,USD,Computer & Co,414.959991
103723,1/30/17,2/7/17,36,USD,Computer & Co,393.119995
103723,2/7/17,2/14/17,52,USD,Computer & Co,567.840027
103723,2/13/17,2/20/17,62,USD,Computer & Co,677.039978
103723,2/21/17,3/1/17,53,USD,Computer & Co,578.76001
103723,2/27/17,3/9/17,73,USD,Computer & Co,797.159973
103723,3/6/17,3/12/17,129,USD,Computer & Co,1408.68005
103723,3/14/17,3/23/17,121,USD,Computer & Co,1321.31995
103723,3/21/17,3/30/17,103,USD,Computer & Co,1124.76001
